"Class"	"Field"	"Label"	"Description"	"Reviewed"	"Source"	"SourceDetail"	"SourceHash"
"FsFeatStrucType"	"Abbreviation"	"Abbreviation"	"This field stores the abbreviation of the current named feature type."	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Lists/Feature_Types_fields/abbreviation_field_feature_types.htm (page title: ""Abbreviation field (Feature Types)""; exact; HelpTopicPaths.resx:680, khtpField-FsFeatStrucType-Abbreviation; page title ""Abbreviation field (Feature Types)"" and the Feature Types list is FsFeatStrucType)"	"sha256:fdbf1f6a6f1260696664fa170179719e373c5d4c6e890958056839e0e616b647"
"FsFeatStrucType"	"Features"	"Features"	"The order of features will be used in the Gloss Assistant system to put feature values in the correct glossing order. For example, the user may want the FsFeatStrucType of TAM (tense aspect modality) to be ordered Aspect, Modality and Tense."	"sourced"	"liblcm/MasterLCModel.xml"	"line 1416, <rel id=""Features""> under <class id=""FsFeatStrucType"">"	"sha256:4f8622f7e4ce736df45302a5aba45ca3fe64c9c41ee8318b96714b54d896b2f2"
"FsFeatureSpecification"	"Feature"	"Feature"	"Set which grammatical feature this specification constrains, before its required value can be attached -- links a feature structure entry to the feature it names."	"no-source-exists"	"none (searched)"	"Searched and not found: no <comment> in MasterLCModel.xml on the abstract class or on any of its six concrete subclasses, no ContextHelp.xml item, no HelpTopicPaths.resx key, and the generated C# doc comment is the template's ""Gets or sets the Feature"" fallback. The structural reason is checkable and is re-checked on every build: the field is declared once, on an abstract class, and no concrete subclass redeclares it — so there is no per-class slice for FieldWorks to have documented. If a subclass ever redeclares it, this exemption fails rather than quietly continuing to apply. The sentence in this row is therefore unverified prose, kept only because an emitted kind must carry some text; what is established here is that no source exists to check it against, not that it is right."	""
"FsSymFeatVal"	"Abbreviation"	"Abbreviation"	"Each Abbreviation field stores the abbreviation of one value name."	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Grammar/Inflection_Features_fields/Abbr_field_value_features.htm (page title: ""Abbreviation field (Value - Features)""; renamed-path; HelpTopicPaths.resx:671, khtpField-FsSymFeatVal-Abbreviation, points at Grammar/Features_fields/abbreviation_field_value_features.htm, which the shipped help tree no longer contains — the directory is now Inflection_Features_fields and the file Abbr_field_value_features.htm. Matched on title, ""Abbreviation field (Value - Features)"", whose text (""stores the abbreviation of one value name"") is the symbolic feature value's abbreviation)"	"sha256:8ccef1094a026d9b8a75af4f743fa4c8012f3458ed787b784f10a045c59ad02e"
"LexEntryInflType"	"GlossAppend"	"Append to Gloss"	"Any gloss string which will be added after the gloss of the stem."	"sourced"	"liblcm/MasterLCModel.xml"	"line 5189, <basic id=""GlossAppend""> under <class id=""LexEntryInflType"">"	"sha256:c59c5dd90b2eee21e28b7db05b073ae33786a80dd0c69af74b51e60d81b39fc8"
"LexEntryInflType"	"GlossPrepend"	"Prepend to Gloss"	"Any gloss string which will be added before the gloss of the stem."	"sourced"	"liblcm/MasterLCModel.xml"	"line 5184, <basic id=""GlossPrepend""> under <class id=""LexEntryInflType"">"	"sha256:2a026d2573dc434f98c626bcd590edc3023bbb451d953ec73e7bdaa174e3bc1e"
"LexEntryInflType"	"Slots"	"Slots"	"This indicates any slot(s) in inflectional templates which would normally be filled by an inflectional affix bearing the same inflectional feature(s) as those in InflFeats."	"sourced"	"liblcm/MasterLCModel.xml"	"line 5201, <rel id=""Slots""> under <class id=""LexEntryInflType"">"	"sha256:20be39385a5f72fceb69f45f2013c5811ef0386965bc2cc22bdd86e3e2e3a515"
"LexEntryRef"	"ComponentLexemes"	"Components"	"The UI limits this to a sequence of LexEntry or LexSense. For variants, this field points to the main entry or sense. When not hidden, this will produce a minor variant entry that always shows the main entry referenced here. This variant will always be shown in the main entry being referenced. ComponentLexemes is ignored in this case."	"sourced"	"liblcm/MasterLCModel.xml"	"line 5007, <rel id=""ComponentLexemes""> under <class id=""LexEntryRef"">"	"sha256:8c37a73a171ee444c95c64d71d22b1be0bdb18b10de28e325d8ba1dd7d25243d"
"LexEntryRef"	"VariantEntryTypes"	"Variant Type"	"This points to one or more LexEntryType items in the Variant Entry Types list for variant entries. It is unused for complex entries, although the model allows for both to be used if desirable. Normally a variant LexEntryRef will only use PrimaryLexemes to point to a single entry or sense. Entries using VariantEntryTypes will be displayed as minor entries in the dictionary; usually following the main entry headword and will typically produce a separate minor entry in the dictionary referring to the main entry. The LexEntryType is used to determine how to display the variant information in the main entry context as well as the minor entry context. The Variant Entry Types list is hierarchical with the top level being the type of variant (e.g., dialectal) and subitems being the conditions (e.g., British English, American English) for that type of variant. Normally the user will set this property to a subitem, although a top level item could be used if the user does not want to specify the condition. Each LexEntryType Abbreviation and ReverseAbbr should contain everything needed for displaying the references for this entry. Flex will not attempt to combine names from different hierarchical levels. The Abbreviation is used when displaying the main entry from the minor entry (e.g., Brit. dial. of color). The ReverseAbbr is used when displaying the minor entry from the main entry (e.g., Brit. dial. colour). This is a sequence because some minor entries can have more than one relationship to the same main entry. For example, colour is a spelling variant and a British dialectal variant. The user could use two LexEntryRefs to represent this, but it would be easier to use a single LexEntryRef with two VariantEntryTypes references."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4991, <rel id=""VariantEntryTypes""> under <class id=""LexEntryRef"">"	"sha256:c30a9e6c6206c5490d0cdef4e1761dd978410d1e5146489e9a83a11abde20f98"
"LexEtymology"	"Form"	"Source Form"	"This field stores the etymon or proto form. It is the form, borrowed or inherited, from which the headword (lexeme or citation form) was derived. It may have Greek or Romanized forms."	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Lexicon/Lexicon_Edit_fields/Entry_level_fields/Source_Form_Etymology.htm (page title: ""Source Form (Etymology)""; exact; HelpTopicPaths.resx:440, khtpField-SourceForm (not class-qualified); page full name ""Source Form"" matches this field's harvested label exactly, and the page places the field in the Etymology field set)"	"sha256:fc3b993880874f03d4185ba4f12fb8cba7ba7cd628ed7de3c597721c5cd7906c"
"LexEtymology"	"Gloss"	"Gloss"	"This field stores the gloss of the form in the Source Form field."	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Lexicon/Lexicon_Edit_fields/Entry_level_fields/Gloss_field_Etymology.htm (page title: ""Gloss field (Etymology)""; exact; HelpTopicPaths.resx:314, khtpField-LexEtymology-Gloss; the page's own text ties it to the Source Form field, which is LexEtymology.Form)"	"sha256:2ad885dae60b8594ea0b96cfe6f351fcf76af5af6e2b0973bec5e4e6dba27657"
"LexPronunciation"	"Form"	"Pronunciation"	"This is the pronunciation usually in an approximately phonemic encoding for purposes of showing up in the printed dictionary.The pronunciation can be represented with more than one encoding."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2878, <basic id=""Form""> under <class id=""LexPronunciation"">"	"sha256:47dfc16140eb4ff275977241e5ddab9733888021b25a75b5a2da6fa0a78ec4f6"
"LexSense"	"MorphoSyntaxAnalysis"	"Grammatical Info."	"The way this sense functions."	"sourced"	"FieldWorks/DistFiles/Language Explorer/Configuration/ContextHelp.xml"	"line 389, item id=""MorphoSyntaxAnalysis"" (exact; verified against LexSenseParts.xml:44, obj field=""MorphoSyntaxAnalysis"" (class LexSense is the only declarer of this field name in the model))"	"sha256:6164feb5ca6c58e2a6192a17c99c98bb2d6d3cbd9fe0ec73ab62b46409a52d2e"
"MoAdhocProhib"	"Disabled"	"Active"	"Indicates whether the rule is currently active and therefore will be used by the parser (false) or if it is not active (true) and therefore ignored by the parser (but still available for the user to see)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 2981, <basic id=""Disabled""> under <class id=""MoAdhocProhib"">"	"sha256:4f9dd71dedf4cd0e517821a91948190c8b464c7b0de2668caedc5dc7a7296cf6"
"MoAffixAllomorph"	"PhoneEnv"	"Environments"	"refers to a collection of PhEnvironment objects, describing what the phonetic environment of this allomorph is."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3000, <rel id=""PhoneEnv""> under <class id=""MoAffixAllomorph"">"	"sha256:1d7046749530b11d91368e17957c59429a0832cb8f216d003251762c7bd3262f"
"MoAffixAllomorph"	"Position"	"Infix Positions"	"refers to an ordered seq of PhEnvironment, encoding the position relative to the stem in which this allomorph goes (for example, before the stem, after the stem, orbetween the first two consonants of the stem)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3019, <rel id=""Position""> under <class id=""MoAffixAllomorph"">"	"sha256:f5ddc6698a4eb5a9c59f0b3af92dd99e2cec5d389d74e508c7bbb673bba252b3"
"MoAffixForm"	"InflectionClasses"	"Inflection Classes"	"refers to a collection of MoInflectionClass, giving the conjugation or declension classes to which this allomorph belongs. This supports the collapsing into allomorphs of affixes which differ only in their form and in their requirements for inflection class."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3040, <rel id=""InflectionClasses""> under <class id=""MoAffixForm"">"	"sha256:22a51fb24dc0104baacd1c0a3f7feac7c202217e6a4f070ca9d5091350cfc7b1"
"MoAlloAdhocProhib"	"Allomorphs"	"Allomorphs"	"refers to a seq of MoForm objects, the co-occurrence of which is ungrammatical. Usually, there will be exactly two such allomorphs. If there are three or more allomorphs, the intended meaning is that a word is ungrammatical in which all such morphemes appear (but the co-occurrence of only some of the morphemes is not prohibited). Having only one morpheme in this attribute should be flagged as a Warning, since such a restriction can do nothing."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4548, <rel id=""Allomorphs""> under <class id=""MoAlloAdhocProhib"">"	"sha256:9472756ef8612e82a0dfed9c8265b8101b26fa0b0616d8b409a3412ad559cd09"
"MoAlloAdhocProhib"	"FirstAllomorph"	"Key Allomorph"	"The primary allomorph that the constraint is about."	"sourced"	"FieldWorks/DistFiles/Language Explorer/Configuration/ContextHelp.xml"	"line 322, item id=""FirstAllomorph"" (exact; verified against MorphologyParts.xml:2313, slice field=""FirstAllomorph"" class=""...AdhocCoProhibAtomicReferenceSlice"")"	"sha256:5350383d1f4a21b7948b8bc88fccd9c93274c541689e569112e2179254f65299"
"MoAlloAdhocProhib"	"RestOfAllos"	"Other Allomorph(s)"	"The other allomorph(s) which cannot occur with the key allomorph."	"sourced"	"FieldWorks/DistFiles/Language Explorer/Configuration/ContextHelp.xml"	"line 325, item id=""RestOfAllos"" (exact; verified against ContextHelp.xml's own text (""the other allomorph(s) which cannot occur with the key allomorph"") names the same pairing as MorphologyParts.xml's FirstAllomorph/RestOfAllos slices in the same dialog)"	"sha256:590f3a71e8cb217a88fec4fda6b76d0f1b922533eae2cdc3030c5f700e577f61"
"MoCompoundRule"	"Disabled"	"Active"	"Indicates whether the rule is currently active and therefore will be used by the parser (false) or if it is not active (true) and therefore ignored by the parser (but still available for the user to see)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3125, <basic id=""Disabled""> under <class id=""MoCompoundRule"">"	"sha256:4f9dd71dedf4cd0e517821a91948190c8b464c7b0de2668caedc5dc7a7296cf6"
"MoCompoundRule"	"ToProdRestrict"	"Exception Features"	"Give the compound this rule builds its own exception classes, overriding whatever the parts carried. Left empty, an endocentric compound inherits the head's classes and an exocentric one ends up with none."	"hand-corrected"	"liblcm/MasterLCModel.xml"	"line 3119, <rel id=""ToProdRestrict""> under <class id=""MoCompoundRule"">"	"sha256:40c52530ebd76089bcb24122633d5c064a126cbbb418801b399f8a9b14d82511"
"MoCopyFromInput"	"Content"	"Content"	"refers to a PhContextOrVar in MoAffixProcess.Input of the owner of this object; the meaning is that the stretch of the input word matched by that PhContextOrVar is copied over without alteration to the output."	"sourced"	"liblcm/MasterLCModel.xml"	"line 4588, <rel id=""Content""> under <class id=""MoCopyFromInput"">"	"sha256:5b3ddb226a7fd436b2e9a49e2c3b85cc708e46ec463e5ee9988b9983bdaa952a"
"MoDerivAffMsa"	"FromInflectionClass"	"From Inflection Class"	"specifies the inflection (conjugation or declension) class which the stem to which this affix attaches must belong. In general, derivational affixes are arguably not marked for this property, so this attribute may be superfluous. However, it will certainly be necessary if non-Inflectional inflectional morphology is to be modeled using this class. (And it may turn out that some derivational affixes are sensitive to the inflectional class of their stem.)"	"sourced"	"liblcm/MasterLCModel.xml"	"line 3164, <rel id=""FromInflectionClass""> under <class id=""MoDerivAffMsa"">"	"sha256:6f83b2ad3249db609b26c94da6567d184086f3e84a12e7d76757f067b484fdcc"
"MoDerivAffMsa"	"FromPartOfSpeech"	"From Category"	"specifies the category of the stem to which this affix attaches. See comments above on the ""Unitary Base Hypothesis."" Note also that in AMPLE, it is possible to map a series of categories into another series of categories; that capability is not defined here. If the parts of speech list is hierarchical, the problem could be partially circumvented by specifying an abstract category in this attribute. However, that would not solve the problem of mapping the output category, because at best we could specify more than a single output category."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3152, <rel id=""FromPartOfSpeech""> under <class id=""MoDerivAffMsa"">"	"sha256:f397b600a187d84186682cc6960f39620e95844cda8fad3763261c4316c8d965"
"MoDerivAffMsa"	"FromProdRestrict"	"From Exception Features"	"Restrict this derivational affix to stems that already carry every exception class listed here -- the textbook case is English -ity attaching only to [+Latinate] stems, giving felicity and vivacity but not *widity. A stem may carry more classes than are listed but not fewer; leaving this empty lets the affix attach whatever exception classes the stem has."	"hand-corrected"	"liblcm/MasterLCModel.xml"	"line 3196, <rel id=""FromProdRestrict""> under <class id=""MoDerivAffMsa"">"	"sha256:e716bde4d4b322d85d38c02041c0128feda89ad222ed58562887d5db3dc22de3"
"MoDerivAffMsa"	"FromStemName"	"From Stem Allomorph Label"	"FromStemName: refers to an MoStemName, telling the stem to which this affix attaches. If this attr is empty, this affix attaches to the default stem of an MoStemMsa, as given by the vDefaultStems attr. (The vDefaultStems attr is a seq attr, to allow for a choice based on phonological constraints; in the absence of phonologically conditioned stem selection, there should be only one default stem.)"	"sourced"	"liblcm/MasterLCModel.xml"	"line 3185, <rel id=""FromStemName""> under <class id=""MoDerivAffMsa"">"	"sha256:c6d27abd399588025138bdec7d40e895f60a2ad59c8893c12a11b90271f87f90"
"MoDerivAffMsa"	"ToInflectionClass"	"To Inflection Class"	"specifies the inflection (conjugation or declension) class which the word derived from this affix attaches belongs."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3170, <rel id=""ToInflectionClass""> under <class id=""MoDerivAffMsa"">"	"sha256:df7d4d568fcc6920e2a1cc4e9f01154cabe48ef2be17d1b6a432abc3f1e5937c"
"MoDerivAffMsa"	"ToPartOfSpeech"	"To Category"	"specifes the category(PartOfSpeech) of the word resulting from the attachment of this affix."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3158, <rel id=""ToPartOfSpeech""> under <class id=""MoDerivAffMsa"">"	"sha256:09186e39101fdda4db1a5fee5b22bc94162f9943168e31097dfb068216129c5a"
"MoDerivAffMsa"	"ToProdRestrict"	"To Exception Features"	"Give the stem this derivational affix produces its own exception classes, so that affixes attaching later see the derived form as a member of them. This is what the output carries, not a condition on the input."	"hand-corrected"	"liblcm/MasterLCModel.xml"	"line 3202, <rel id=""ToProdRestrict""> under <class id=""MoDerivAffMsa"">"	"sha256:34fd941cea21aec3a30fa5ce487f212d16d3afeea4ddd4dcfadd5e210bce02e1"
"MoEndoCompound"	"HeadLast"	"Right Headed"	"owns a Boolean, defaulting to true (meaning that the right-hand constituent is the head)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3255, <basic id=""HeadLast""> under <class id=""MoEndoCompound"">"	"sha256:7f3dcf92be3e5a23ca1bb4c705a2b4e6da8f0db940436c73b1950037d64f6828"
"MoInflAffMsa"	"FromProdRestrict"	"From Exception Features"	"Restrict this inflectional affix to stems that already carry every exception class listed here. A stem may carry further classes but not fewer, and an empty list means the affix ignores exception classes altogether."	"hand-corrected"	"liblcm/MasterLCModel.xml"	"line 3450, <rel id=""FromProdRestrict""> under <class id=""MoInflAffMsa"">"	"sha256:8679dc1a75a956b141722cd871863ff21087aa230f58b8703e2a1477bb4a114e"
"MoInflAffMsa"	"PartOfSpeech"	"Category"	"Set which part of speech this inflectional affix attaches to, so the parser only offers it for stems already assigned to that category."	"unsourced"	""	""	""
"MoInflAffMsa"	"Slots"	"Slots"	"This field references and displays the Slot Name of one or more affix slots for the associated category. When you add an inflectional affix to a slot in an affix template table in Category Edit (Grammar), that slot will appear in this field."	"sourced"	"FieldWorks/DistFiles/Helps/FieldWorks_Language_Explorer_Help.chm"	"User_Interface/Field_Descriptions/Lexicon/Lexicon_Edit_fields/Grammatical_Info_Details_fields/Slots_field.htm (page title: ""Slots field (Lexicon Edit)""; exact; HelpTopicPaths.resx:488, khtpField-MoInflAffMsa-Slots; page full name ""Slots"" matches the harvested label, and the page describes the Grammatical Info Details level where this class's slices live)"	"sha256:53d203b890d9335ac69b2dfb60181910f1008c457b7df630313296b351a2bed8"
"MoInflAffixSlot"	"Optional"	"Optional"	"Optional: Boolean, default False. A value of true indicates that this slot is optional and therefore does not have to appear. This is not intended for slots which have what might be called a zero morpheme-see the discussion of the 'Affixes' attribute immediately above. Rather, this attribute is intended for the situation in which a language optionally marks some feature-value combinations. For example, in Tzeltal the plurality of a noun is only optionally marked: a suffix indicates that the noun is plural, but the absence of a plural suffix does not mean the noun is necessarily singular. For this situation, an optional slot containing the plural morpheme would be appropriate."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3330, <basic id=""Optional""> under <class id=""MoInflAffixSlot"">"	"sha256:c88e06ec8988f34916328220fe23d1997232955e9e8a7d354567fd9a0964afe0"
"MoInflAffixTemplate"	"Disabled"	"Active"	"Indicates whether the template is currently active and therefore will be used by the parser (false) or if it is not active (true) and therefore ignored by the parser (but still available for the user to see)."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3401, <basic id=""Disabled""> under <class id=""MoInflAffixTemplate"">"	"sha256:8f3a7ba0b45e6b6d38c21b95e67774f070441a4b67890d4cd0d5c55b96be80b2"
"MoInflAffixTemplate"	"Final"	"Requires more derivation"	"In languages like Quechua, one can inflect a verb stem with all but tense. Instead one adds a derivational affix (participle) which creates a noun. The resulting stem is then inflected like a noun."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3393, <basic id=""Final""> under <class id=""MoInflAffixTemplate"">"	"sha256:78cb556f99bb60359edf06a683ed91e1b9af48e8534c23e54a283a8cb1fb147f"
"MoInflAffixTemplate"	"PrefixSlots"	"Prefix Slots"	"refers to an ordered seq of MoInflAffixSlot, i.e. those slots which correspond (roughly) to prefixes. The order is from the innermost affix out, i.e. right-to-left."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3378, <rel id=""PrefixSlots""> under <class id=""MoInflAffixTemplate"">"	"sha256:7bb8345c5830a50038d140811496f07b430886621b24f129d85787499a3660cc"
"MoInflAffixTemplate"	"SuffixSlots"	"Suffix Slots"	"refers to an ordered seq of MoInflAffixSlot, i.e. those slots which correspond (roughly) to suffixes. The order is from the innermost affix out, i.e. left-to-right. See discussion re PrefixSlots concerning other types of affixes."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3388, <rel id=""SuffixSlots""> under <class id=""MoInflAffixTemplate"">"	"sha256:29ae72f1be520b89d30ba4eeabfab31e04c041fb2953d0c90d7be0306557a47a"
"MoInflClass"	"Abbreviation"	"Abbreviation"	"a multiUnicode string, storing an abbreviated form of the Name. Probably useful for displays. Probably defaults to the first eight or so chars of the Name."	"sourced"	"liblcm/MasterLCModel.xml"	"line 3469, <basic id=""Abbreviation""> under <class id=""MoInflClass"">"	"sha256:dc362a16fcd8c95b023af7c8f9eb9813c7ab1b05670ef03e91190eef897355d4"
