"Class"	"Field"	"Card"	"ComparisonClass"	"Statement"	"MatchedTerms"	"Source"	"SourceDetail"	"SourceHash"
"MoInflAffixTemplate"	"Slots"	"seq"	"positional"	"refers to an ordered seq of MoInflAffixSlot; during the course of a derivation, each Affix Slot is applied in sequence, beginning with the top-most slot. While in many (most?) languages the order of attachment of Inflectional affixes is irrelevant, it may occasionally be necessary to specify a derivational order to account for allomorphy. Since the left-to-right order is likely to be discovered earlier than the derivation order, it will probably be necessary to provide a default derivation order which can be computed from the order in the PrefixSlots and SuffixSlots attributes (below). Existing front-ends to AMPLE (such as CarlaMen) do something similar by allowing the user to choose to apply all prefixes before all suffixes, or vice versa, and something similar will probably suffice as a default here."	"ordered seq applied sequence order left-to-right apply before"	"liblcm/MasterLCModel.xml"	"line 3353, <rel id=""Slots""> under <class id=""MoInflAffixTemplate"">"	"sha256:b1daf1fc0f8373928404d3587cfb5e23a6982579c4bf6b841bb0bd231163b1dd"
"MoInflAffixTemplate"	"SuffixSlots"	"seq"	"positional"	"refers to an ordered seq of MoInflAffixSlot, i.e. those slots which correspond (roughly) to suffixes. The order is from the innermost affix out, i.e. left-to-right."	"ordered seq order innermost left-to-right"	"liblcm/MasterLCModel.xml"	"line 3388, <rel id=""SuffixSlots""> under <class id=""MoInflAffixTemplate"">"	"sha256:988470e1f727f93eb31e0d839ebceeac29ec032509d6c25be6b2046e503dd600"
"MoInflClass"	"RulesOfReferral"	"seq"	"positional"	"owns a sequence of MoReferralRule."	"sequence"	"liblcm/MasterLCModel.xml"	"line 3489, <owning id=""RulesOfReferral""> under <class id=""MoInflClass"">"	"sha256:8c3bd6446d7426617200e1e5c7bed7dd9c945e4910e471c9e69607f62be7674f"
"MoInsertPhones"	"Content"	"seq"	"positional"	"refers to an ordered seq of PhPhonemes and/or PhBdryMarkers (thus the signature is the superclass PhTerminalUnit)."	"ordered seq"	"liblcm/MasterLCModel.xml"	"line 4007, <rel id=""Content""> under <class id=""MoInsertPhones"">"	"sha256:f764e080839c9c1aba0bad985428b28e2a492e49d576598e0bfcfe0a2addd530"
"MoMorphAdhocProhib"	"Morphemes"	"seq"	"positional"	"refers to a collection seq of MoMorphoSyntaxAnalysis objects, the co-occurrence of which is ungrammatical."	"seq"	"liblcm/MasterLCModel.xml"	"line 4569, <rel id=""Morphemes""> under <class id=""MoMorphAdhocProhib"">"	"sha256:ee451f214b322161d039427967a7ad5ffa972b0e98bc94ee75d3c83b7b00edbd"
"MoMorphAdhocProhib"	"RestOfMorphs"	"seq"	"positional"	""	""	""	""	""
"MoMorphData"	"CompoundRules"	"seq"	"positional"	"owns a seq of MoCompoundRules. (Alternatively, these could be owned in the stratum to which they belong - see MoStratum.vCompoundRules for discussion.) The order corresponds to the order in which the compounding rules apply in a derivation."	"seq order apply"	"liblcm/MasterLCModel.xml"	"line 3520, <owning id=""CompoundRules""> under <class id=""MoMorphData"">"	"sha256:b6e1ab53328c49a7a040f9c9f41d65874665b1505eecc6a42c445d6a9da935f5"
"MoMorphData"	"Strata"	"seq"	"positional"	"owns a col of MoStratum objects, in order from shallowest to deepest."	"order shallowest deepest"	"liblcm/MasterLCModel.xml"	"line 3515, <owning id=""Strata""> under <class id=""MoMorphData"">"	"sha256:bcb687b4872b8b8ee407f3c203570ea401ca389ac4690f1bf94c95f5ca917698"
"MoMorphSynAnalysis"	"Components"	"seq"	"positional"	"points to an ordered seq of other MoMorphoSyntaxAnalysis objects, which are interpreted as the morphemes or stems that make up this object. I have defined this as an ordered seq on the assumption that the order of the components will match the left-to-right order of the morphemes. This is not unproblematic: some morphemes may be unanalyzed, and some morphemes may not appear in a strict left-to-right order (e.g. infixes). The former problem could be fixed by the use of placeholder (uninstantiated) Msas; the latter could be fixed either by defining a canonical order, or by using derivational order instead."	"ordered seq order left-to-right"	"liblcm/MasterLCModel.xml"	"line 3578, <rel id=""Components""> under <class id=""MoMorphSynAnalysis"">"	"sha256:506a920f99c71518609e76c0c998991b5d891563ee63776b3bb8e542e6e38218"
"MoMorphSynAnalysis"	"GlossBundle"	"seq"	"positional"	"The functional gloss for this MSA is the ordered bundle of MoGlossItems that it points to. These are ordered as necessary to create the desired gloss string."	"ordered"	"liblcm/MasterLCModel.xml"	"line 3591, <rel id=""GlossBundle""> under <class id=""MoMorphSynAnalysis"">"	"sha256:2f472eb12858ac9802c390b222955615a658a088f36e99febf7ed96f7a8dbfb2"
"PartOfSpeech"	"AffixTemplates"	"seq"	"positional"	"owns an ordered seq of MoInflAffixTemplates, which define how affixation (but not choice of stems) works for this part of speech. The reason this is an ordered sequence attribute, rather than atomic, is to allow the user to capture the fact that the number of slots can be different for different parts of the paradigm (infinitives, for example, or tenses which are partly inflected on the main verb and partly on an auxiliary verb). The order of templates in this attribute is relevant: the first MoInflAffixTemplates whose Region attr is a subset of the inflectional features to be realized on the word, is chosen.Note the assumption here that all the words belonging to a single part of speech have fundamentally the same paradigm (and therefore the same set of affix templates), and that differences are accounted by membership in distinct MoInflectionClasses (Carstairs 1987: 10-11, Carstairs-McCarthy 1998b: 324)."	"ordered seq sequence order first"	"liblcm/MasterLCModel.xml"	"line 3798, <owning id=""AffixTemplates""> under <class id=""PartOfSpeech"">"	"sha256:45f8da5f3176f8e1b84d6c3bff90f87180052cc9ad244bb56af293b17fcba0fd"
"PartOfSpeech"	"RulesOfReferral"	"seq"	"positional"	"owns an ordered seq of MoReferralRule; used for statements like ""the accusative plural of nouns is identical to the nominative plural"" or ""the accusative plural of second declension nouns is identical to the nominative plural'. In Stump's (1993a) notation, the latter case corresponds to indicating a 'CLASS' for the Referral Rule.)I (MM) have defined this as an ordered seq, because in rare cases one referral rule might override another such rule."	"ordered seq"	"liblcm/MasterLCModel.xml"	"line 3782, <owning id=""RulesOfReferral""> under <class id=""PartOfSpeech"">"	"sha256:09443e68b829753360e6148b068c12b24b2be4a0a36fab2457c2cf841338527e"
"PhPhonData"	"Environments"	"seq"	"positional"	""	""	""	""	""
"PhPhonData"	"NaturalClasses"	"seq"	"positional"	""	""	""	""	""
"PhPhonData"	"PhonRules"	"seq"	"feeding"	"These are the ordered sequence of phonological rules. They are given in the order in which they are to be applied."	"ordered sequence order applied"	"liblcm/MasterLCModel.xml"	"line 4496, <owning id=""PhonRules""> under <class id=""PhPhonData"">"	"sha256:8d674438bf3f2c09d230c7d8561e91b19d8e909ef4e2749387c543d01caa011a"
"PhPhonData"	"PhonemeSets"	"seq"	"positional"	""	""	""	""	""
"PhRegularRule"	"RightHandSides"	"seq"	"positional"	""	""	""	""	""
"PhSegRuleRHS"	"LeftContext"	"atomic"	"index-as-identity"	""	""	""	""	""
"PhSegRuleRHS"	"RightContext"	"atomic"	"index-as-identity"	""	""	""	""	""
"PhSegRuleRHS"	"StrucChange"	"seq"	"index-as-identity"	""	""	""	""	""
"PhSegmentRule"	"StrucDesc"	"seq"	"positional"	"Each ordered PhSimpleContext corresponds to a number (the index) that can be referred to in the structural change attribute."	"ordered index"	"liblcm/MasterLCModel.xml"	"line 5076, <owning id=""StrucDesc""> under <class id=""PhSegmentRule"">"	"sha256:ecfe608e7bdd9b5abc1112905bd956b7dc80668d0842fe45ca8e098f710e9c23"
"PhSequenceContext"	"Members"	"seq"	"positional"	"an ordered seq of PhPhonologicalContext (but not normally another PhSequenceContext)"	"ordered seq"	"liblcm/MasterLCModel.xml"	"line 4251, <rel id=""Members""> under <class id=""PhSequenceContext"">"	"sha256:704a6dcbbf2ea280952f489648db964957b22f7bec7caa29c188df67c0925204"
"PhSimpleContextNC"	"MinusConstr"	"seq"	"positional"	"refers to a collection seq of PhFeatureConstraints; see discussion under the plusConstraints attr."	"seq"	"liblcm/MasterLCModel.xml"	"line 4281, <rel id=""MinusConstr""> under <class id=""PhSimpleContextNC"">"	"sha256:93376aa9e8f8b78ed94bc863cb4d090d9d9c3754dc535579665206acf25ecc3d"
"PhSimpleContextNC"	"PlusConstr"	"seq"	"positional"	"Refers to a collection seq of PhFeatureConstraint. If one of the constraints is in the environment and one in the output of the rule, then the effect is that of a rule of assimilation: in the form output by the rule, the phoneme affected by the rule will have the same value as the value on the phoneme matched by the environment.This attribute is not intended to be implemented immediately, but is included here for completeness (since it is apparently difficult to add new attributes once a COM interface has been defined).Note that although this attr is defined as a collection seq (not an ordered seq), the order is assumed to be stable. On the other hand, the use of a seq attr here may be overkill; from a linguistic standpoint, a single constraint (plus or minus) might be adequate."	"seq ordered order"	"liblcm/MasterLCModel.xml"	"line 4275, <rel id=""PlusConstr""> under <class id=""PhSimpleContextNC"">"	"sha256:fa16557e6e703c2dad15ab0ede0bb093adb87509b7a646fda894af7d74e5f315"
"PhTerminalUnit"	"Codes"	"seq"	"positional"	"a collection of PhCodes (which amounts to a seq of strings), each in a single encoding (but not perhaps all in the same encoding)."	"seq"	"liblcm/MasterLCModel.xml"	"line 4337, <owning id=""Codes""> under <class id=""PhTerminalUnit"">"	"sha256:fb1c2345782abf03f4b7fa3e7a58d45efc6aa05e7f3c44a5ad68d52938776133"
"ReversalIndexEntry"	"Senses"	"seq"	"positional"	""	""	""	""	""
"ReversalIndexEntry"	"Subentries"	"seq"	"positional"	""	""	""	""	""
"StText"	"Paragraphs"	"seq"	"positional"	""	""	""	""	""
"WfiAnalysis"	"CompoundRuleApps"	"seq"	"positional"	"Allows Morph Sketch Generator to extract example wordforms where a compound rule applied."	"applied"	"liblcm/MasterLCModel.xml"	"line 3928, <rel id=""CompoundRuleApps""> under <class id=""WfiAnalysis"">"	"sha256:f57a8519db5af8eeab8cb0a8826e5991eafaa96b30f55f1fc4f5c8edd4e6face"
"WfiAnalysis"	"InflTemplateApps"	"seq"	"positional"	""	""	""	""	""
"WfiAnalysis"	"MorphBundles"	"seq"	"positional"	""	""	""	""	""
